binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-75f7083cda8475bf9a533f66,scenario-b3d034413de438245eea70c5,7ef8474190838a52f64598251056f63f9dc80628c7f2971cc39da91e5f77296a,strict_inductive,gcn,7,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-2196165b2cb1cbe7183be091,scenario-b3d034413de438245eea70c5,611bbcb78c717dd34c70ce140645b6b5d870fba32f03e03f8a8fa9db7d339e73,strict_inductive,graphsage,7,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-6d3eaea90531fc9339c272b1,scenario-b3d034413de438245eea70c5,c6e3f6cbde68d1eda200a072ac4237435ab48efa1ad177d3a9a52c28528fe345,isolated_inductive,feature_mlp,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-aecc2b6d594df4d83e343458,scenario-b3d034413de438245eea70c5,0aa5c3704989735ce8ff0e6dc3e311746b1d9739d1e400cbce8cbe600711dbf9,isolated_inductive,gcn,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-5ca14ac7ffee1ace35611638,scenario-b3d034413de438245eea70c5,ca0e2769d397b7a6f21345517073a8edcc824b6a8ca6ade0b217dd98830ea235,isolated_inductive,graphsage,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-516e5e9e5b0561853cf284fa,scenario-b3d034413de438245eea70c5,1628d0f6792faf4dd6b339175d7c60a0b265e30781eb15d5b75d468245253266,transductive_structure,feature_mlp,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-5db855f16f277f24779e4d47,scenario-b3d034413de438245eea70c5,3cb3e761964fe17cdcc4cbdce77e826f078fd4030e386603116c560116c4d6c3,transductive_structure,gcn,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-87df3bea709823165adf172c,scenario-b3d034413de438245eea70c5,a7d5de8b2d66061cd9614dfbc3572880171c61fd8bee5e683db0d424d67944b4,transductive_structure,graphsage,7,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-50b9c363eca92af925fa06f5,scenario-ad31926c0a7dfcf08b4bbef8,f88fc8784787f54a41ce60eabba47e56430035ed39375c79e2f9bff6f3762020,strict_inductive,feature_mlp,8,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-22f425342199ef16dc259a9d,scenario-ad31926c0a7dfcf08b4bbef8,51a24d05aaffcb2eced5197e817823afb73767f9df75e4a88db07d9e379a23bd,strict_inductive,gcn,8,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
